what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040035985
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040036693
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040037133
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040045161
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040077310
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040078247
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040078770
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040096068
executed,command,,,AUTOGEN:::org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditorPart.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1315040114608
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040117330
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040117495
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315040139146
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1315040143730
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040144961
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040155916
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315040156910
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315040183530
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315040190507
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315040199953
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1315040241880
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315040243294
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315040253456
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315040255010
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040297859
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040298541
