what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739048925
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739148604
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315739181215
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315739184347
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739209540
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739211411
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739213295
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739215475
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739215604
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739216365
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739216510
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739253811
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315739296731
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739298221
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1315739298423
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315739299890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739317698
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739323751
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739329474
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739336672
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739356386
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739371607
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315739376747
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1315739383408
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315739396483
