what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026337185
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315026339608
executed,command,,,AUTOGEN:::org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditorPart.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1315026376394
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315026386639
started,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1315026387922
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315026387988
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026399910
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026400846
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315026402896
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315026404684
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026413025
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026418370
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026424736
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026425460
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315026426684
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315026429677
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026431206
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026438284
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026441501
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026444362
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315026449451
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026463731
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026464621
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026472652
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026478081
