what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028722308
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028736521
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028743117
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028752349
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028753055
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028753664
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028756006
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028756049
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028791360
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028810744
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028811362
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028811991
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028813542
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028813662
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028816169
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028819402
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028831439
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1315028847877
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315028849463
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315028851073
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028853448
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028854208
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028855778
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028857215
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315028857234
