what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315031928523
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315031928953
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315031929371
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315031929715
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315031930035
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315031930468
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315031932583
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315031934345
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315031949458
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315031951048
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032004239
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032005112
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315032005940
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032005943
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032007788
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032007827
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032013687
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032013852
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032016797
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032018483
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1315032047587
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032050322
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1315032050323
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032113951
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032115485
