what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034490162
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034493710
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315034493765
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034501705
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034505088
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034505814
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034508566
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034508735
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034509797
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034510151
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034515401
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315034515441
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315034530224
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034542947
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034545796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034546143
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034551527
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315034551577
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034559831
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034570378
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315034570424
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034595294
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034596541
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034597707
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315034598444
