what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316266666265
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316266671167
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316266671246
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316266671702
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316266671952
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316266804366
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316266805567
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316266827215
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316266828335
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267055743
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267060943
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267114742
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267120751
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267122842
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267122885
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267123294
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267123549
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267208241
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1316267208335
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1316267285567
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1316267357889
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267360701
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267362124
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267362138
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316267362558
