what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640739731
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640739851
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640750317
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315640750419
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640755417
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640758847
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315640760137
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1315640769466
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640778498
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640779288
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640779798
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640784538
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640785308
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640788319
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315640788429
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315640871425
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315640877275
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315641220190
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315641249200
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315641251600
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315641252711
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315641254602
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315641265633
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315641269021
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315641288441
