what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315029665896
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315029666031
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315029666184
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029705458
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029706297
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029707062
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029708598
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029708693
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029709445
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029709485
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029710792
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029710843
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029710957
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315029711004
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029713469
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029717343
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315029717399
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315029736841
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315029738740
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315029743969
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315029747681
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315029751008
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315029752647
executed,command,,,AUTOGEN:::org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditorPart.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1315029762671
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315029768556
