what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315032420768
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032423848
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032425339
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032429122
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032431036
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032437371
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032439601
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032444095
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1315032445192
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032461843
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032478064
opened,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032479094
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032482597
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032484253
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315032496967
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032504496
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315032510069
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032541518
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315032548840
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032549581
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315032551701
executed,command,,,AUTOGEN:::org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditorPart.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1315032558166
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032559500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032559665
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032588114
