what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315040818775
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040821119
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040821859
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040822285
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040835779
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040836573
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040837256
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315040841814
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315040847867
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315040851577
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040874867
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040875759
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040876217
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040889191
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040927773
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040928563
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040928994
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040937319
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315040950996
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315040956142
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315040961534
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315040977518
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1315040979130
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040980521
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315040992189
