what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315744108818
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744112560
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744122307
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315744134662
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315744137535
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744142145
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744144637
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315744147376
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744162973
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744428031
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315744448106
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744449044
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744449973
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744451088
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744453143
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744456199
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315744458854
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315744464528
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1315744507650
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315744508668
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315744522332
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315744541442
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315744556751
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315744564536
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315744596658
