what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1315026593948
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1315026602885
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315026622268
executed,command,,,AUTOGEN:::org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditorPart.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1315026626520
executed,command,,,AUTOGEN:::org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditorPart.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1315026635331
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026641000
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026641182
executed,command,,,AUTOGEN:::org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditorPart.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1315026643660
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026644488
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026644648
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1315026653713
executed,command,,,AUTOGEN:::org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditorPart.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1315026655895
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026669211
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026669369
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026669506
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026671578
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1315026671672
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1315026671806
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315026674573
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1315026677073
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315026678425
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1315026678426
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1315026679151
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026681350
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315026682559
