what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315718557
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315720402
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315720443
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315720853
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315721063
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315779057
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315783892
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315784432
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315786954
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315788644
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315788685
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315789045
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315789255
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315828356
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315829487
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316315861634
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1316315946390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316316030667
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316316035398
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1316316036418
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316316037759
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316316042006
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316316045299
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316316051041
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316316051071
