what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032612833
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032625206
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1315032634036
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032635943
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032722215
closed,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032722221
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032729223
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032744488
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032744562
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032744567
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032750670
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032759986
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032759986
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1315032789515
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1315032790717
closed,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032790736
opened,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032797579
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315032798685
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032804938
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032828139
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032836279
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315032836294
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315032836310
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315033218819
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315033220506
